Judul,Author,Genre,Year,Rating
Akuntansi Biaya,"Omi Pramiana, S.E., M.Ak., Dra. Yuniep Mujati Suaidah, M.Si., CRA., Widy Taurus Sandy, S.E., M.SM. Sandy, S.E., M.SM.",Akuntansi Biaya,2023.0,4.9
155 Soal-Jawab Akuntansi Dasar,"DR. HC. HERY, S.E., M.Si., CRP., RSA., CFRM., FAAFM",Akuntansi,2021.0,5.0
Sap: Standar Akuntansi Pemerintahan,Ifat Fauziah,Akuntansi,2018.0,4.9
Akuntansi Keperilakuan,R.a.supriyono,Akuntansi,2018.0,4.0
Pengantar Akuntansi Biaya,Harsono Yoewono,Akuntansi Biaya,2026.0,5.0
"Fun Accounting, Cara Mudah Belajar Akuntansi","Erwin Sujiwa, M.B.A",Akuntansi,2023.0,5.0
"Akuntansi Keperilakuan,Teori Dan Implikasi","DR. Ratna Candra Sari, M. SI., CA.",Akuntansi,2018.0,5.0
Akuntansi Perpajakan,Wirawan B Ilyas & Diaz Priantara,Akuntansi Pajak,2017.0,5.0
Akuntansi Pengantar 2 Berbasis Sak Etap 2009 Edisi 8,Slamet Sugiri Sodikin,Akuntansi,2018.0,5.0
Akuntansi Biaya Edisi 2,LILIK PIRMANINGSIH,Akuntansi Biaya,2016.0,5.0
Akuntansi Biaya: Aplikasi Perusahaan Manufaktur Edisi Revisi,Mulyanto Nugroho dan Slamet Riyadi,Akuntansi Biaya,2022.0,5.0
Teori Akuntansi Keuangan,"RAHMAWATI, KRISMIAJI",Akuntansi,2021.0,5.0
Pengantar akuntansi 2,Novita Ikasari,Akuntansi,2015.0,5.0
Praktikum Akuntansi Keuangan Menengah 1 Dan 2,"Hery, S.e, M.si",Akuntansi,2023.0,4.0
Akuntansi Dasar Untuk Perguruan Tinggi Islam,Sony Warsono Bin Hardono,Akuntansi,2018.0,5.0
Praktikum Pengantar Akuntansi Versi IFRS Edisi 2,Thomas Sumarsan,Akuntansi,2017.0,5.0
