Judul,Author,Genre,Year,Rating
Manajemen Perbankan,Herman Darmawi,Manajemen Keuangan,2018.0,5.0
Manajemen Dana Bank Syariah,"Ikit, S.E., M.E.I.",Manajemen Keuangan,2018.0,5.0
Manajemen Investasi Dan Portofolio,"EMBUN PROWANTO,DR.MM.CSA.CRP,CFP DAN DIDIT HERLIANTO,DRS.EC.MSI,CRP",Manajemen Keuangan,2020.0,5.0
Pengantar Manajemen (Siswanto),Siswanto,Pengantar Manajemen,2021.0,4.8
Pengantar Manajemen,SENTO IMAM WAHJONO,Pengantar Manajemen,2018.0,4.0
Manajemen Asuransi Kesehatan,"Drs. Rachmat Suyanto, M.A.R.S. dkk.",Manajemen Keuangan,2022.0,5.0
Pengantar Manajemen Syariah,Didin Hafidhuddin  Hendri Tanjung,Manajemen Keperawatan,2019.0,5.0
"Panduan Manajemen Hutang: Berani Hutang,Berani Sukses","Eka Dharma Pranoto,S.Kom.,AFF.,WM.",Manajemen Keuangan,2024.0,3.0
Manajemen Edisi 2,T. Hani Handoko,Manajemen,2018.0,4.8
Manajemen Belanja Daerah Dalam Konsep Dan Analisis,Wa Ariadi,Manajemen Keuangan,2021.0,5.0
Pengantar Manajemen Keuangan Ed 4,Dermawan Sjahrial,Pengantar Manajemen,2012.0,5.0
Manajemen Pembiayaan Bank Syariah Ed.Kedua,Muhamad,Manajemen Keuangan,2021.0,5.0
Manajemen Ziswaf,"Neneng Nurhasanah, Udin Saripudin, Nandang Ihwanudin, Ridha Taufiq Rahman",Manajemen Keuangan,2023.0,5.0
Manajemen Perbendaharaan Negara,"Kuwat Slamet, S.E., M.Si., Ak., CA. PIA., Hermawan Sukoasih, S.Sos., M.E.",Manajemen Keuangan Publik,2023.0,5.0
Pengantar Manajemen Edisi-1,Ernie Tisnawati Sule,Pengantar Manajemen,2016.0,4.7
Pengantar Manajemen,Ismail Solihin,Manajemen Bisnis,2011.0,4.1
Pengantar Manajemen,Ismail Solihin,Pengantar Manajemen,2011.0,4.08
Manajemen Jilid 1,"Stephen P. Robbins,Mary A. Coulter,T. Hermaya",Manajemen,2020.0,3.74
Asas Manajemen,Usman Effendi,Manajemen,2015.0,5.0
Manajemen Jilid 2,"Stephen P. Robbins,Mary A. Coulter",Manajemen,2016.0,4.0
Manajemen Organisasi Zakat: Perspektif Pemberdayaan Umat Dan Strategi Pengembangan Organisasi Pengelola Zakat,Anonymous,Manajemen Keuangan,2011.0,4.0
manajemen,puataka,Manajemen,2010.0,5.0
Pengantar Manajemen,Dian Wijayanto,Manajemen Umum,2011.0,4.0
Akuntansi Manajemen 2 Ed 5,Atkinson,Akuntansi Manajemen,2015.0,5.0
Akuntansi Manajemen 1 Ed 5,"Anthony A. Atkinson, Robert S. Kaplan, Ella Mae Matsumura, S. Mark Young",Akuntansi Manajemen,2018.0,4.5
Dasar-Dasar Manajemen Logistik,"Prof. Dr. Ir. H. Sutarman, M.Sc.",Manajemen Logistik,2017.0,5.0
Dasar-Dasar Manajemen,Sukarna,Manajemen Umum,2011.0,5.0
Dasar-dasar Manajemen Sediaan: Dari Gudang ke Pusat Distribusi,J. David Viale  J. David Viale,Manajemen Persediaan,2014.0,5.0
Manajemen Sekuriti (Dasar-dasar Pengamanan dan Usaha Jasa Keamanan),A. Handoyo,Manajemen Keamanan,2015.0,5.0
Dasar-Dasar Manajemen Rantai Pasok,Ricky Virona Martono,Manajemen Operasi,2020.0,5.0
Dasar-Dasar Manajemen,"DR. AGOES PARERA, S.E., S.H., M.H., AAAIJ.,CFP",Dasar Manajemen,2020.0,4.9
Manajemen Dasar Pengertian & Masalah E-Rev,Malayu,Manajemen,2024.0,4.0
Dasar - Dasar Manajemen,GEORGE R. TERRY DAN LESLIE W.RUE,Dasar Manajemen,2021.0,4.8
Dasar-Dasar Manajemen,George R.terry,Manajemen Bisnis,2015.0,5.0
Dasar-Dasar Merencanakan Keuangan Keluarga Secara Syariah,Aidil Akbar Madjid,Keuangan Syraiah,2015.0,4.09
Panduan Praktis Dasar Analisa Keuangan,"Arief Sugiono, S.E., M.Ak.",Keuangan,2016.0,4.0
Mengenal dan Memahami Dasar-dasar Laporan Keuangan,Hery,Laporan Keuangan,2016.0,4.6
"Manajemen Dasar, Pengertian dan Masalah",Malayu S.P. Hasibuan,Manajemen,2015.0,4.01
Dasar-dasar Manajemen Penyiaran,J.B. Wahyudi,Manajemen Industri,2018.0,3.97
Akuntansi Keuangan Dasar 2 Ed 2,MARDIASMO,Akuntansi KEUangan,2021.0,5.0
Pengendalian Akuntansi dan Manajemen,Yoshihiro To,Manajemen,2014.0,5.0
Wealth Management: Produk dan Analisis,Ikatan Bankir Indonesia,Manajemen Keuangan,2017.0,5.0
Manajemen Teori Dan Aplikasi,"Said Achmad Kabiru Rafiie, Se",Manajemen Umum,2018.0,5.0
Manajemen Risiko,"Dadang Suwanda, H.,Dr. S.E., M.M., M.Ak., Ak., Ca., Dkk.",Manajemen Risiko,2019.0,5.0
Change Management : Manajemen Perubahan,"Prof. Dr. Manahan P. Tampubolon, SE., MM",Manajemen Perubahan,2020.0,5.0
Manajemen,"Dr.Mamduh M.Hanafi,Mba",Manajemen Umum,2022.0,5.0
Manajemen Keuangan Syariah Edisi Kedua,Muhamad,Keuangan Syariah,2019.0,4.9
Manajemen Pemasaran,"Esti Dwi Rahmawati SE.,MM.",Manajemen Pemasaran,2023.0,5.0
Dasar-Dasar Ilmu Manajemen: Pengantar Menguasai Ilmu Manajem,ERNA NOVITASARI,Manajemen Umum,2020.0,4.6
Manajemen Risiko Dan Asuransi,"Drs. Danang Sunyoto, Sh., Se., Mm",Manajemen Risiko,2017.0,5.0
Buku Pintar Manajemen Pajak,"Indra Mahardika Putra, S.E., Ak., M.Ak.",Manajemen Pajak,2019.0,5.0
Manajemen Audit Keuangan  : Ternyata Audit Itu Mudah,"Indra Mahardika Putra, Se. Ak, M. Ak",Audit Keuangan,2015.0,5.0
Pengantar Manajemen Keuangan Teori Dan Soal Jawab,Irham Fahmi,Pengantar Manajemen,2018.0,5.0
Manajemen Risiko Keuangan Syariah,"Dr. Darmawan, M.A.B.",Manajemen Risiko,2022.0,5.0
Manajemen Risiko Pembiayaan pada Lembaga Keuangan Syariah,"Dr. Abdul Aziz, M.Ag.",Manajemen Risiko,2021.0,4.0
"Manajemen: Manajemen Risiko, Prinsip Manajemen, Perencanaan, Akuntansi Manajemen, Tata Kelola Perusahaan, Kepuasan Kerja, Kaizen",Source Wikipedia,Akuntansi Manajemen,2011.0,5.0
