judul,tahun_terbit,kategori,penulis,total_peminjam
Akuntansi Dasar dan Aplikasi Dalam Bisnis Versi IFRS Jilid 2,2013,Akuntansi," Thomas Sumarsan,Thomas Sumarsan",2
Akuntansi Intermediate Buku Satu Ed.15,2004,Akuntansi Intermediate," K. Fred, SKOUSEN,Earl k.,STICE",2
Akuntansi Intermediate Jilid 1 Ed.9,1997,Akuntansi Intermediate," Jay M., K. Fred, SKOUSEN,SMITH",2
Akuntansi Intermediate Jilid 3 Ed.10,2002,Akuntansi Intermediate," KIESO,Donal E.,Jerry J.,WEYGANDT",2
Akuntansi Internasional Edisi 5 Buku 1,2005,Akuntansi Intermediate," MEEK,CHOI,Frederick D.S.,Gary K.",2
Akuntansi Keuangan Intermediate Accounting Buku 1 Edisi 16,2009,Akuntansi Lanjutan," STICE,Earl k.,James D.,STICE",2
Akuntansi Keuangan Menengah 2 Ed.1,2011,Akuntansi Lanjutan," LEKOK,Hery,Widyawati",2
Akuntansi Manajemen Buku 2 Ed.7,2005,Akuntansi Manajerial," Jhon C., MOWEN,Don R.,HANSEN",2
Akuntansi Manajemen Ed.3,2001,Akuntansi Manajerial," MULYADI,MULYADI",2
Akuntansi Manajerial Buku 2 Ed.14,2013,Akuntansi Manajerial," NOREEN,Eric W.,GARRISON,Ray H",2
Akuntansi Perpajakan Ed.1,2008,Akuntansi," AGOES,Estralita,Prof.Dr.Sukrisno,TRISNAWATI",2
Akuntansi Syariah Di Indonesia Ed.3,2013,Ekonomi Syariah," Nurhayati,Wasilah",2
Akuntansi Syariah di Indonesia Edisi 2,2009,Ekonomi Syariah," Sri, Wasilah,NURHAYATI",2
Analisa Kritis Atas Laporan Keuangan,2008,Laporan Keuangan," HARAHAP,HARAHAP,Sofyan Syafri",2
Analisis Data dengan Statistika Non Parametrik,2021,Matematika Terapan," Tuti Gantini,Nar Herrhyanto",2
Analisis Laporan Keuangan,2000,Laporan Keuangan," Abdul, HALIM, Mamduh M.,HANAFI",2
Analisis Laporan Keuangan Ed.1,2011,Laporan Keuangan," FAHMI,FAHMI,Irham",2
Analisis Laporan Keuangan Ed.1,2013,Laporan Keuangan," FAHMI,FAHMI,Irham",2
Analisis Laporan Keuangan Edisi 2,2013,Laporan Keuangan," Djahotman Purba,Dermawan Sjahrial",2
Animal Farm,1996,Retorika & Kumpulan Karya Sastra," George Orwell,George Orwell",2
Artificial Intelligence: Mengupas Rekayasa Kecerdasan Tiruan,2019,Kecerdasan Buatan," Imam Robandi,Imam Robandi",2
Audit Intern Bank  Buku 2,1999,Audit Keuangan," TAWAF, Tjukria Prihadi,TAWAF",2
Audit Teknologi Informasi & Assurance Buku 1 Ed.2,2009,Audit Keuangan," James A., Singleton, Tommie,HALL",2
Audit Teknologi Informasi dan Assurance Edisi 2 Buku 1 = Information Technology Auditing and Assurance,2007,Audit Keuangan," James A., Singleton, Tommie,HALL",2
Auditing & Pel.Verifikasi Jilid 1 Ed.9,2001,Audit Keuangan," Alvin A., ELDER, Randal J.,ARENS",2
Auditing Buku 1,1997,Audit Keuangan," Alvin A., James K., Loebbecke,ARENS",2
Ayah dan Sirkus Pohon,2020,Retorika & Kumpulan Karya Sastra," Andrea Hirata,Andrea Hirata",2
Bank dan Lembaga Keuangan Lainnya,2014,Ekonomi Keuangan," Irham Fahmi,Irham Fahmi",2
Bank dan Lembaga Keuangan Lainnya Edisi 6,2002,Ekonomi Keuangan," Kasmir,Kasmir",2
Basic Statistics For Business & Economics 4th Edition,2003,Matematika Terapan," MARCHAL,Douglas A.,LIND,William G.",2
Behavioral Accounting,1989,Akuntansi," Helene Ramanauskas-Marconi,Gary Siegel",2
Bekerja Tanpa Stres,2002,Manajemen," John B. Arden, Ph.D.,John B. Arden",2
Belajar dan Memimpin dengan Kebiasaan Pikiran: 16 Karakteristik Penting untuk Sukses,2012,Penididikan Karakter," Bena Kallick,Arthur L. Costa",2
Belajar Mudah Statistika Ekonomi dan Bisnis 1: Mahir Excel dan SPSS,2019,Bisnis," Jan Horas Veryady Purba,Jan Horas Veryady Purba",2
Buku Efektifitas Web Sebagai Media Promosi Pariwisata,2019,Kecerdasan Buatan," usman chamdani,usman chamdani",2
Buku Pintar Transaksi Ekspor Impor,2011,"Perdagangan, Komunikasi, Transportasi"," Daud S.T. Kobi,Daud S.T. Kobi",2
"Bunga Rampai Laporan Keuangan Pemerintah Daerah_Standar,Praktik dan Permasalahanya",2017,Laporan Keuangan," Moermahadi, SOERJA DJANEGARA,SOERJA DJANEGARA",2
"Busines and Personal Development: Dilengkapi dengan Story, Self Assesment dan Kertas Kerja, serta Kasus Perusahaan Besar di Indonesia",2013,Bisnis," Swenjiadi Yenawan,Josua Tarigan",2
Business Communication Process and Product = Komunikasi Bisnis: Proses dan Produk Buku 1 Edisi 4,2006,Marketing," RHODES,GUFFEY,Kathleen,Mary Ellen",2
Cinta Tak Pernah Tepat Waktu,2020,Retorika & Kumpulan Karya Sastra," Puthut Ea,Puthut Ea",2
Computer Starter Guide: Jaringan Komputer,2007,Ilmu Komputer," Wiharsono Kurniawan,Wiharsono Kurniawan",2
CSR (Corporate Social Responsibility),2014,Manajemen," Totok Mardikanto,Totok Mardikanto",2
Dasar-dasar Kewirausahaan,2011,Manajemen," HENDRO,HENDRO",2
Dasar-Dasar Manajemen Keuangan = Essentials of Financial Management Edisi 11 Buku 1,2010,Manajemen Keuangan," HOUSTON,BRIGHAM,Eugene F.,Joel F.",2
Dasar-Dasar Manajemen Keuangan Buku 1,2001,Manajemen Keuangan," David F., SCOTT,Arthur J.,KEOWN",2
Dasar-Dasar Manajemen Keuangan Edisi 14 Buku 1,2018,Manajemen Keuangan," Houston, Joel F.,BRIGHAM,Eugene F.",2
Dasar-Dasar Public Relations,2004,Humas," Elvianro Ardianto,Soleh Soemirat",2
Dealing With People You Can't Stand,2002,Psikologi," Rick Kirschner,Brinkman Kirschner",2
Drunken Monster,2018,Retorika & Kumpulan Karya Sastra," Pidi Baiq,Pidi Baiq",2
Dunia Dalam Genggaman Bung Karno 2,2019,Biografi," Sigit Aris Prasetyo,Sigit Aris Prasetyo",2
Ekonomi Kreatif & Praktek Pemasaran Ed.1,2013,Ilmu Ekonomi," SULISTIONO,Angga,MULYANA,Mumuh",2
Ekonomi Moneter dan Kebanksentralan,2014,Ekonomi Keuangan," M. Natsir,M. Natsir",2
English For Profesional Food & Beverage Services,2019,Bahasa Inggris," Sutanto Leo,Sutanto Leo",2
Ensiklopedia Perpajakan Indonesia,2010,Perpajakan," Rudy Suhartono,Wirawan B. Ilyas",2
Entrepreneur dan Entrepreneurship,2017,Marketing," WINARDI,WINARDI",2
Entrepreneurship ; Successfully Launching New Ventures,2010,Kewirausahaan," R. Duane Ireland,Bruce R. Barringer",2
Entrepreneurship Sebuah Ilmu,2015,Marketing," Wina Christina,David S. Kodrat",2
Etika Bisnis Bagi Pelaku Bisnis: Cara Cerdas dalam Memahami Konsep dan Faktor-faktor Etika Bisnis dengan Beberapa Contoh Praktis Edisi 3,2011,Etika Profesi," Agus Arijanto, M.M, S.E.,Agus Arijanto",2
Etika dalam Bisnis & Profesi Akuntan dan Tata Kelola Perusahaan,2018,Etika Profesi," SR, Soemarso,Soemarso",2
Financial Accounting IFRS Ed. 2Ed.,2013,Akuntansi," KIMMEL,Jerry J.,Paul D.,WEYGANDT",2
How to Negotiate,2005,Bisnis," Ann Jackman,Ann Jackman",2
Hukum Pajak Edisi 7,2016,Hukum Pajak," Erly Suandy,Erly Suandy",2
Hukum Perbankan Nasional Indonesia Edisi Kedua,2014,Hukum Perbankan," HERMANSYAH,HERMANSYAH",2
Human Capital Management: Konsep dan Implementasi,2013,Marketing," Michael Armstrong,Angela Baron",2
Information Technology Auditing and Assurance Buku 1,2011,Audit Keuangan," Tommie Singleton,James A. Hall",2
"Integrated advertising, promotion, and marketing communications",2010,Marketing," Donald Baack, Kenneth E. Clow,Liberti,PANDIANGAN",2
Intel Menguak Tabir Dunia Intelejen Indonesia,2007,Personil Militer," Ken Conboy,Ken Conboy",2
International Accounting_Akuntansi Internasional,2010,Ekonomi Keuangan," MEEK,CHOI,Frederick D.S.,Gary K.",2
International Marketing : Pemasaran Internasional Ed.13 Buku 1,2007,Manajemen Pemasaran," GRAHAM, John L., Philip R.,CATEORA",2
Investasi = Investments Edisi 6 Buku 1,2008,Manajemen Investasi," KANE,Alex,BODIE,Zvi",2
Investasi Sekuritisasi Aset,2007,Ekonomi Keuangan," Eko Surya Lesmana, NASUTION,Adler H.,MANURUNG",2
Jasa Audit Dan Assurance Buku 1 Ed.1,2011,Audit Keuangan," Beasley, Mark S., Randal J.,ELDER",2
Kewirausahaan Technopreneurship untuk Mahasiswa Ilmu-Ilmu Eksakta,2015,Kewirausahaan," Tri Kuntoro Priyambodo,Bambang Murdaka Eka Jati",2
Komputer Akuntansi dengan MYOB Account Right Premier,2015,Akuntansi," Madcom,Madcom",2
Komunikasi Bisnis 1 Edisi 6 Versi Bahasa Indonesia,2003,Marketing," BOVEE, Courtland L., John V.,THILL",2
Komunikasi Bisnis Edisi 9 Jilid 1,2013,Marketing," John V. Thill,Courtland L. Bovee",2
Kredit Bank Umum : Menurut Teori dan Praktik Perbankan Indonesia,2020,Ekonomi Keuangan," Wangsawidjaja,Wangsawidjaja",2
Kupas Tuntas PPh POTPUT: Penerapan Aturan Terbaru Pemotongan dan Pemungutan Pajak Penghasilan Edisi 2,2017,Perpajakan," Benny Setiawan,Primandita Fitriandi",2
Lagu Untuk Renjana,2019,Retorika & Kumpulan Karya Sastra," Faisal Syahreza,Aura",2
Laskar Pelangi,2020,Seni," Andrea Hirata,Andrea Hirata",2
Leading Your Team,2002,Marketing," Michael Maynard,Andrew Leigh",2
Mahir Akuntansi Pajak Terapan,2015,Perpajakan," Irsan Lubis,Irsan Lubis",2
Manajemen Edisi ketigabelas jilid 2,2016,Manajemen," Mary Coulter,ROBBINS,Stephen P.",2
"Manajemen Investasi : Konsep, Teori, dan Aplikasi",2011,Manajemen Investasi," Tatang Ary Gumanti,Tatang Ary Gumanti",2
Manajemen Keuangan,2010,Manajemen Keuangan," Darsono,Darsono",2
Manajemen Keuangan 2 Edisi 3,2002,Manajemen Keuangan," BERLIAN, Inge, S. Sundjaja,RIDWAN",2
"Manajemen Keuangan Perusahaan: Konsep Aplikasi dalam Perencanaan, Pengawasan, dan pengambilan Keputusan Edisi Baru",2013,Manajemen Keuangan," Lukman Syamsuddin,Lukman Syamsuddin",2
Manajemen Keuangan untuk Manajer Non Keuangan,2011,Manajemen Keuangan," Farah Margaretha,Farah Margaretha",2
Manajemen Keuangan: Konsep Dasar dan Penerapannya Edisi Revisi,2012,Manajemen Keuangan," Rini Indriani,Kamaludin",2
Manajemen Mutu Terpadu = Total Quality Management,2021,Manajemen Mutu," Tatang Ibrahim,A. Rusdiana",2
Manajemen Pemasaran Jasa Edisi 2,2006,Manajemen Pemasaran," A., HAMDANI, Rambat,LUPIYOADI",2
Manajemen Pemasaran Jilid 1,2007,Manajemen Pemasaran," KELLER, Kevin Lane,KOTLER,Philip",2
Manajemen Perbankan Ed.2,2009,Ekonomi Keuangan," DENDAWIJAYA, Lukman,DENDAWIJAYA",2
Manajemen Perpajakan Edisi Revisi_Strategi Perencanaan Pajak dan Bisnis,2018,Perpajakan," Chairil Anwar Pohan,Chairil Anwar Pohan",2
Manajemen Perubahan Edisi 3,2016,Manajemen," WIBOWO,WIBOWO",2
"Manajemen Portofolio Dan Investasi ED 9, Buku 2",2014,Manajemen Investasi," KANE,Alex,BODIE,Zvi",2
Manajemen Risiko Perbankan Syariah di Indonesia,2013,Manajemen Risiko," Bambang Rianto Rustam,Bambang Rianto Rustam",2
Manajemen Strategik dalam Pengembangan Daya Saing Organisasi,2008,Manajemen Strategi," Mukhamad Najib,Musa Hubeis",2
Manajemen Strategis  (Ed.Indonesia),2003,Manajemen Strategi," WHEELEN,HUNGER,J.David,Thomas L.",2
"Manajemen Strategis : Formulasi, Implementasi, Dan Pengadilan Edisi 12 Buku 1",2014,Manajemen Strategi," Richard B. Robinson Jr.,John A. Pearce II",2
"Manajemen Strategis: Formulasi, Implementasi dan Pengendalian Edisi 12 Buku 2",2014,Manajemen Strategi," Richard B. Robinson Jr.,John A. Pearce II",2
Manajemen Sumber Daya Manusia = Human Resource Management Edisi 14,2015,Manajemen Sumber Daya Manusia," Gary Dessler,Gary Dessler",2
Manajemen Sumber Daya Manusia Jilid 1 Edisi 10,2011,Manajemen Sumber Daya Manusia," Gary Dessler,Gary Dessler",2
Mansfield Park,2019,Ilmu Teknik," Jane Austin,Jane Austin",2
Masalah Korupsi dan Pencegahannya di Indonesia Masa Kini,2014,Kriminologi," Subur Sukrisno,Subur Sukrisno",2
Maximum Distributorship Management,2017,Marketing," Frans M., Royan,Royan",2
Membangun Peradaban Kota,2018,Kewarganegaraan," Dhaneswara Nirwana Indrajoga,Nirwono Joga",2
Mengenal Kredit Perbankan_Masalah dan Solusinya,2019,Ekonomi Keuangan," Drs.Mochamad Sumardi Sulaeman.,Drs.Mochamad Sumardi Sulaeman.,MM.",2
Metode Kuantitatif Untuk Analisis Ekonomi dan Bisnis,2014,Ilmu Ekonomi," Muhammad Teguh,Muhammad Teguh",2
Metode Penelitian Bisnis Edisi 12 Buku 1,2017,Bisnis," Pamela S. Schindler,Donald R. Cooper",2
Metode Riset untuk Bisnis dan Ekonomi,2013,Metode Riset," Mudrajad Kuncoro,Mudrajad Kuncoro",2
Model Pemasaran : Sinergisitas Human Capital dan Teknologi Digital,2019,Manajemen Pemasaran," Zulki Zulkifli Noor,Dr. H. R. Zulki Zulkifli Noor",2
Mozaik Kehidupan Seorang Adhi Tirtawisata,2016,Biografi," Eko AW,Bondan Nurdiyanto",2
Mudah Menghitung dan Melaporkan Pemotongan Pajak Karyawan SPT Masa PPh Pasal 21 atau 26,2013,Perpajakan," Forethought,Forethought",2
Nasihat Untuk SBY,2012,Ilmu Politik dan Pemerintahan," Adnan Buyung Nasution,Adnan Buyung Nasution",2
"Network security dan cyber security : teori dan praktik cisco CCNA, linux, windows, amazon AWS, android",2019,Ilmu Komputer," Rifkie Primartha,Iwan Sofana",2
Orang-Orang Biasa,2020,Retorika & Kumpulan Karya Sastra," Andrea Hirata,Andrea Hirata",2
Pajak Daerah & Retribusi Daerah,2005,Perpajakan," Marihot P, SIAHAAN,SIAHAAN",2
Pajak Terapan Brevet A & B Ed. Revisi Buku II,2011,Perpajakan," Amin Subiyakto,Teguh Hadi Wardoyo",2
Pajak Terapan BREVET A&B Buku I Ed.2013 Rev.,2013,Perpajakan," SUBIYAKTO, Teguh Hadi,Amin,WARDOYO",2
Pajak Terapan Brevet A&B Buku II Ed.2009,2009,Perpajakan," ARGO, Teguh Hadi,Sapto Windi,WARDOYO",2
"Panduan Sukses Berbisnis Saham bagi Pemula ""Smart Trader Rich Investor""",2014,Kewirausahaan," Ellen May,Ellen May",2
"Pasar Modal: Mekanisme Perdagangan Saham, Analisis Sekuritas, dan Strategi Investasi Di Bursa Efek Indonesia (BEI)",2009,Ekonomi Keuangan," Bambang Susilo D.,Bambang Susilo D.",2
Pemasaran Internasional Ed.13 Buku 2,2007,Manajemen Pemasaran," GRAHAM, John L., Philip R.,CATEORA",2
Pemasaran: Esensi Dan Aplikasi,2016,Manajemen Pemasaran," Anastasia Diana, Ph.D,Fandy Tjiptono",2
"Pendidikan Karakter Dalam Metode Aktif, Inovatif, dan Kreatif",2012,Penididikan Karakter," Einarno Surakhmad,Retno Listyarti",2
Pendidikan Kewarganegaraan,2010,Kewarganegaraan," Achmad Zubaidi,KAELAN",2
Pendidikan Pancasila,2016,Ilmu Politik dan Pemerintahan," KAELAN,KAELAN",2
Pendidikan Pancasila dan Kewarganegaraan di Perguruan Tinggi,2014,Kewarganegaraan," Hamid Darmadi,Hamid Darmadi",2
Pengantar Akuntansi 2 Pendekatan PSAK Berbasis IFRS,2019,Akuntansi," RAHMAN PURA,RAHMAN PURA",2
Pengantar Akuntansi Adaptasi Indonesia Buku 2,2010,Akuntansi," REEVE,Carl S.,James M.,WARREN",2
Pengantar Bisnis,2015,Bisnis," Buchari Alma,Buchari Alma",2
Pengantar Bisnis (Dasar-Dasar Ekonomi Perusahaan),1993,Manajemen Bisnis," John Soeprihanto,Murti Sumarni",2
Pengantar Bisnis Ed.10,2015,Bisnis," Ronald J. Ebert,Ricky W. Griffin",2
Pengantar Bisnis Jilid 1,2002,Bisnis," KURTZ,BOONE",2
Pengantar Bisnis Modern,1993,Bisnis,", Basu, Ibnu, SUKOTJO W.,SWASTHA ",2
Pengantar Ekonomi Mikro dan Makro,2015,Ilmu Ekonomi," Made Kembar Sri Budhi,Paulus Kurniawan",2
Pengantar Hukum Bisnis,2012,Ilmu Hukum," Faisal Santiago,Faisal Santiago",2
Pengantar Keuangan Perusahaan = Corporate Finance Fundamentals Edisi 8 Buku 1,2009,Manajemen Keuangan," Randolph W., Stephen A., WESTERFIELD,ROSS",2
Pengantar Manajemen,2004,Manajemen," BUDIYONO, Haris,AMIRULLAH",2
Pengantar Manajemen Keuangan Edisi 4,2012,Manajemen Keuangan," sjahrial,sjahrial",2
Pengantar Pasar Modal: Di Desain Untuk Mempelajari Pasar Modal Dengan Mudah Dan Praktis,2019,Ekonomi Keuangan," Maya Malinda,Martalena",2
Pengantar Pengetahuan Pasar Modal Edisi 6,2011,Ekonomi Keuangan," SUNARIYAH,SUNARIYAH",2
Perantau Ilmu Asia-Oceania,2018,Retorika & Kumpulan Karya Sastra," Perhimpunan Pelajar Indonesia Dunia,Perhimpunan Pelajar Indonesia Dunia",2
Perbanakan Syariah: produk-produk dan aspek-aspek hukumnya,2018,Ekonomi Keuangan," Prof.Dr.Sutan Remy Sjahdeini.,Prof.Dr.Sutan Remy Sjahdeini.,S.H.",2
Perilaku Konsumen & Strategi Pemasaran: untuk Memenangkan Persaingan Bisnis Edisi 2,2011,Manajemen Strategi," Nandan Limakrisna,J. Supranto",2
Perpajakan Indonesia Buku 1 Edisi 11,2013,Perpajakan," WALUYO,WALUYO",2
Pokok-Pokok Analisa Laporan Keuangan Ed.2,2004,Laporan Keuangan," DJARWANTO,DJARWANTO",2
Praktikum Metode Riset Bisnis,2015,Bisnis," Ridho Bramulya Ikhsan,Rambat Lupiyoadi",2
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 12 Buku 2,2007,Manajemen Keuangan," WACHOWICZ Jr.,HORNE,James C.Van,John M.",2
Prinsip-Prinsip Manajemen Keuangan = Fundamentals of Financial Management Edisi 13 Buku 1,2016,Manajemen Keuangan," John M. Wachowicz, Jr,James C. Van Horne",2
Prinsip-Prinsip Manajemen Keuangan Edisi 9 Buku 1,1997,Manajemen Keuangan," WACHOWICZ Jr.,HORNE,James C.Van,John M.",2
Psych101,2012,Ilmu Sosial," Paul Kleinman,Paul Kleinman",2
Public Relations Edisi 5,2003,Humas," Frank, YADIN,Daniel,JEFKINS",2
Punya Bisnis Sendiri Itu Nikmat,2008,Kewirausahaan," Ilik Martawijaya Elang,Netti Tinaprilla",2
Raden Dewi Sartika,2019,Biografi," E. Rokajat Asura,E. Rokajat Asura",2
Ranah 3 Warna,2019,Retorika & Kumpulan Karya Sastra," a. Fuadi,a. Fuadi",2
Relationship Marketing: Strategi Menciptakan Keunggulan Bersaing,2016,Manajemen Strategi," Dadang Munandar,Dadang Munandar",2
Research Methods For Business A Skill Building Approach Edisi 5,2010,Metode Riset," BOUGIE, Roger, Uma,SEKARAN",2
Revolusi Pertanian dengan Kearifan Lokal,2012,Pertanian," Isran Noor,Soemitro Arintadisastra",2
Rich Dad Poor Dad For Teens,2005,Ekonomi Keuangan," Sharon L. Lechter,Robert T. Kiyosaki",2
Rumah Teteh,2019,Retorika & Kumpulan Karya Sastra," Brii,Brii",2
Samaran,2018,Retorika & Kumpulan Karya Sastra," Dadang Ari Murtono,Dadang Ari Murtono",2
Sang Penggesek Biola,2018,Retorika & Kumpulan Karya Sastra," Yudhi Herwibowo,Yudhi Herwibowo",2
Seri Bunga Rampai ASP: Sistem ASP Ed.1,2010,Akuntansi," HUSAINI,Dr.Adian,HUSAINI",2
Seri Pintar Memasak ; Chinese Food,2010,Gastronomi," Wulan Joe,Elly Yong",2
Sistem Akuntansi Ed.3,2014,Akuntansi," MULYADI,MULYADI",2
Sistem Informasi Akuntansi Buku 1 Ed.4,2007,Sistem Informasi Akuntansi," HALL, James A.,HALL",2
Sistem Informasi Akuntansi Edisi 9 Buku 1,2006,Sistem Informasi Akuntansi," STEINBART,Marshall B.,Paul John,ROMNEY",2
Sistem Informasi Manajemen,2005,Manajemen Informasi," HUMDIANA,Evi,INDRAYANI",2
Sistem Informasi Manajemen Edisi 9 Buku 1,2014,Manajemen Informasi," George M. Marakas,James A. O\'Brien",2
Sistem Manajemen Kinerja,2001,Manajemen Keuangan," Dr. Achmad S. Ruky,Dr. Achmad S. Ruky",2
Sistem Pengendalian Manajemen = Management Control System Buku 2,2012,Manajemen," Vijay Govindarajan,Robert N. Anthony",2
Soedirman,2020,Biografi," TEMPO,TEMPO",2
Statistik Teori dan Aplikasi Edisi 7 Jilid 2,2009,Statistik Umum," SUPRANTO,J.,SUPRANTO",2
Statistika Deskriptif dalam Bidang Ekonomi dan Niaga,2007,Ilmu Ekonomi," HAMDANI, Muliawan, Purbayu Budi,SANTOSA",2
Strategic Management Buku 2 Edisi 12,2011,Manajemen Strategi," Fred R. David,Fred R. David",2
Studi Kelayakan Bisnis Edisi Revisi,2017,Bisnis," Jakfar,Kasmir",2
Sukarno,2018,Ilmu Politik dan Pemerintahan," Arif Zulkifli,Arif Zulkifli",2
Thank You For Being Late,2018,Marketing," Thomas L. Friedman,Thomas L. Friedman",2
The Advice Trap,2020,Marketing," Michael Bungay Stanier,Michael Bungay Stanier",2
The Fundamental of Digital Marketing,2021,Marketing," Andreas Agung,Andreas Agung",2
The One Minute Apology,2005,Psikologi," Margret McBride,Ken Blanchard",2
The Power Of Entrepreneurial Intelligence,2004,Kewirausahaan," Aribowo, BAWONO,PRIJOSAKSONO,Sri",2
Tidak Syar'Inya Bank Syariah di Indonesia Ed.1,2010,Ekonomi Keuangan," Zaim Saidi,Zaim Saidi",2
Tjokroaminoto,2017,Ilmu Politik dan Pemerintahan," TEMPO,TEMPO",2
$100 Startup,2012,Marketing,Chris Guillebeau,1
10 Kisah Jutawan Dari Bisnis Online,2015,Manajemen Bisnis,Merry Magdalena,1
10 Panduan HTML 3.2,1996,Kecerdasan Buatan,tIM eVANS,1
A Nation of Owners: Membangun Indonesia dengan Intisari Pertanian,2007,Kewirausahaan,Agus Pakpahan,1
Administrasi Bank,2013,Bisnis,Mintardjo,1
Agroindustri dan Bisnis Gambir Indonesia,2009,Kewirausahaan,E. Gumbira-Sa'id,1
Akuntabilitas Instansi Pemerintah,2008,Administrasi Negara,"Dr.Bambang,PAMUNGKAS",1
Akuntansi Bank,2010,Akuntansi Manajerial,Ismail,1
Akuntansi Biaya Edisi 5,2005,Akuntansi Biaya,MULYADI,1
Akuntansi Internasional Ed.1,2000,Akuntansi Intermediate," Eko,SUWARDI",1
Akuntansi Manajemen,2004,Akuntansi Manajerial," Mahfud,SHOLIHIN",1
Akuntansi Manajemen Buku 1 Ed.3,2002,Akuntansi Manajerial,"GARRISON,RAY H.",1
Akuntansi Manajemen: Strategis Dan Praktis,2019,Manajemen Strategi,Devie Deviesa,1
Akuntansi Pajak,2008,Perpajakan,WALUYO,1
Akuntansi Perbankan Syariah,2014,Akuntansi,Kautsar Riza Salman,1
Akuntansi Perbankan Transaksi dalam Valuta Asing Edisi 3,2019,Akuntansi,Taswan,1
Akuntansi sektor Publik Edisi 2,2010,Akuntansi,"Deddi,NORDIAWAN",1
Akuntansi Sektor Publik_Akuntansi Keuangan Pemerintah Daerah Berbasis Akrual,2017,Manajemen Keuangan," Baldric,SIREGAR",1
Analisa Kritis Atas Laporan Keuangan,2001,Laporan Keuangan,"HARAHAP,Sofyan Syafri",1
Analisa Laporan Keuangan,1988,Laporan Keuangan," S.,MUNAWIR",1
Analisa Laporan Keuangan Ed.4,1993,Laporan Keuangan," S.,MUNAWIR",1
Analisa Laporan Keuangan Ed.4,1995,Laporan Keuangan," S.,MUNAWIR",1
Analisis Investasi dan Manajemen Portofolio Edisi 1,2001,Ekonomi Keuangan,Eduardus Tandelilin,1
Analisis Jalur Untuk Riset Bisnis dengan SPSS,2007,Metode Riset,"Jonathan,SARWONO",1
Analisis kinerja keuangan dan perencanaan keuangan perusahaan,2001,Manajemen Keuangan," Agnes,SAWIR",1
Analisis Kredit Untuk Account Officer,2006,Ekonomi Keuangan,"JUSUF,Jopie",1
Analisis Laporan Keuangan: Konsep dan Aplikasi edisi Tiga,2014,Laporan Keuangan,Dwi Prastowo,1
Analisis Multivariat Pemasaran,2005,Matematika Terapan," Bilson,SIMAMORA",1
Analisis Perancangan Sistem Berorientasi Objek dengan UML Edisi 2,2021,Ilmu Komputer,Munawar,1
Aplikasi SPSS pada Statistika Multivariat,2012,Ilmu Komputer,Singgih Santoso,1
Arduino & Sensor : Tuntunan Praktis Mempelajari Penggunaan Sensor untuk Aneka Proyek Elektronika Berbasis Arduino,2018,Ilmu Komputer,Abdul Kadir,1
ASUMSI GOING CONCERN: Suatu Tinjauan Terhadap Dampak Krisis Keuangan atas Opini Audit dan Laporan Keuangan,2009,Laporan Keuangan,"Marisi P.,PURBA",1
Audit Intern Bank Buku 1,1999,Audit Keuangan," Tjukria Prihadi,TAWAF",1
Auditing Buku 1,2002,Audit Keuangan,MULYADI,1
Auditing Buku 1 Ed.1,2001,Audit Keuangan," Haryono,JUSUP",1
Auditing Edisi 4 Buku 2,2013,Audit Keuangan,Sukrisno Agoes,1
Auditing Jilid 1 Ed.3,2004,Audit Keuangan,"AGOES,Prof.Dr.Sukrisno",1
Bahari Nusantara untuk Kesejahteraan Masyarakat dan Ketahanan Nasional,2009,Ilmu Sosial,Ruchyat Deni Dj.,1
Bangunan Cagar Budaya Kota Bogor,2015,Kewirausahaan,Ahmad Muflih,1
"Bartending dan Mixology : Mengupas Tuntas seputar Bar,Minuman Beralkohol/Non Alkohol,Dasar Pencampuran Minuman dan Penyajian",2016,Gastronomi,I Gusti Nyoman Wiantara,1
Beasiswa 5 Benua,2017,Penididikan Karakter,a. Fuadi,1
Berdamai Dengan Kanker,2011,Penyakit,Yuniarti Tanjung,1
Berpikir Kritis Dalam Auditing,2011,Audit Keuangan," Theodorus M.,TUANAKOTTA",1
Big Data And Strategic Entrepreneurship,2017,Ilmu Komputer,Manerep Pasaribu,1
Binorrow,2017,Retorika & Kumpulan Karya Sastra,Sudarman BK,1
Brief Answers to the Big Questions : the final book from Stephen Hawking,2018,Biografi,Stephen Hawking,1
Buku Pintar Akutansi Perbankan dan Lembaga Keuangan Syariah,2015,Ekonomi Syariah,Djoko Muljono,1
Buku Pintar Remaja Gaul,2003,Retorika & Kumpulan Karya Sastra,Pamela Espeland,1
"BUSINESS ETHICS = ETIKA BISNIS: Secara Komprehensif menuntun anda untuk memhami definisi, konsep serta beberapa faktor yang terkait, termasuk beberapa contoh praktis",2011,Etika Profesi,Erni R. Ernawan,1
Cara Selling 99% Closing,2016,Marketing,Risky Irawan,1
Chairil Anwar Bagimu Negeri Menyediakan Api,2017,Biografi,TEMPO,1
Chairul Tanjung si Anak Singkong,2012,Biografi,Tjahja Gunawan Diredja,1
Charlie,2019,Retorika & Kumpulan Karya Sastra,Daniel Keyes,1
Corporate Social Responsibility,2016,Manajemen,Ilona Vicenovie Oisina Situmeang,1
CSR Dalam Dunia Bisnis Ed.1,2014,Etika Profesi,"Budi,UNTUNG",1
